metric,population,run,value_ms
device_proof_gen_ms,1000,0,0.722047
device_proof_gen_ms,1000,1,0.680194
device_proof_gen_ms,1000,2,0.900140
device_proof_gen_ms,1000,3,0.646874
device_proof_gen_ms,1000,4,0.612223
device_proof_gen_ms,1000,5,0.595868
device_proof_gen_ms,1000,6,0.652524
device_proof_gen_ms,1000,7,0.616605
device_proof_gen_ms,1000,8,0.652649
device_proof_gen_ms,1000,9,0.571315
device_proof_gen_ms,1000,10,0.628435
device_proof_gen_ms,1000,11,0.599015
device_proof_gen_ms,1000,12,0.594603
device_proof_gen_ms,1000,13,0.628656
device_proof_gen_ms,1000,14,0.556799
device_proof_gen_ms,1000,15,0.589854
device_proof_gen_ms,1000,16,0.585482
device_proof_gen_ms,1000,17,0.581244
device_proof_gen_ms,1000,18,0.668426
device_proof_gen_ms,1000,19,0.598584
device_proof_gen_ms,1000,20,0.598754
device_proof_gen_ms,1000,21,0.645749
device_proof_gen_ms,1000,22,0.584881
device_proof_gen_ms,1000,23,0.646180
device_proof_gen_ms,1000,24,0.617746
device_proof_gen_ms,1000,25,0.605691
device_proof_gen_ms,1000,26,0.648098
device_proof_gen_ms,1000,27,0.659241
device_proof_gen_ms,1000,28,0.710142
device_proof_gen_ms,1000,29,0.653495
device_proof_gen_ms,1000,30,0.583485
device_proof_gen_ms,1000,31,0.641795
device_proof_gen_ms,1000,32,0.726783
device_proof_gen_ms,1000,33,0.642885
device_proof_gen_ms,1000,34,0.610977
device_proof_gen_ms,1000,35,0.590632
device_proof_gen_ms,1000,36,0.669042
device_proof_gen_ms,1000,37,0.559728
device_proof_gen_ms,1000,38,0.566860
device_proof_gen_ms,1000,39,0.609875
device_proof_gen_ms,1000,40,0.671341
device_proof_gen_ms,1000,41,0.622459
device_proof_gen_ms,1000,42,0.601112
device_proof_gen_ms,1000,43,0.602716
device_proof_gen_ms,1000,44,0.605470
device_proof_gen_ms,1000,45,0.587514
device_proof_gen_ms,1000,46,0.697583
device_proof_gen_ms,1000,47,1.067441
device_proof_gen_ms,1000,48,0.789872
device_proof_gen_ms,1000,49,0.617970
device_proof_gen_ms,1000,50,0.624996
device_proof_gen_ms,1000,51,0.686914
device_proof_gen_ms,1000,52,0.663632
device_proof_gen_ms,1000,53,0.594447
device_proof_gen_ms,1000,54,0.613985
device_proof_gen_ms,1000,55,0.598099
device_proof_gen_ms,1000,56,0.663759
device_proof_gen_ms,1000,57,0.611200
device_proof_gen_ms,1000,58,0.621502
device_proof_gen_ms,1000,59,0.614692
device_proof_gen_ms,1000,60,0.645360
device_proof_gen_ms,1000,61,0.598510
device_proof_gen_ms,1000,62,0.583409
device_proof_gen_ms,1000,63,0.631931
device_proof_gen_ms,1000,64,0.626621
device_proof_gen_ms,1000,65,0.584430
device_proof_gen_ms,1000,66,0.630121
device_proof_gen_ms,1000,67,0.610985
device_proof_gen_ms,1000,68,0.560732
device_proof_gen_ms,1000,69,0.616166
device_proof_gen_ms,1000,70,0.645427
device_proof_gen_ms,1000,71,0.669715
device_proof_gen_ms,1000,72,0.614409
device_proof_gen_ms,1000,73,0.638685
device_proof_gen_ms,1000,74,0.591741
device_proof_gen_ms,1000,75,0.648519
